title,Token,tag,stopwordByTag,stemmed,lemma,label
hadapi tim eppd jabar bupati sumedang tekan bawahannya kooperatif,"['hadapi', 'tim', 'eppd', 'jabar', 'bupati', 'sumedang', 'tekan', 'bawahannya', 'kooperatif']","[('hadapi', 'CC'), ('tim', 'NN'), ('eppd', 'NN'), ('jabar', 'NN'), ('bupati', 'VB'), ('sumedang', 'NN'), ('tekan', 'VB'), ('bawahannya', 'RB'), ('kooperatif', 'JJ')]",hadapi tim eppd jabar bupati sumedang tekan bawahannya kooperatif,hadap tim eppd jabar bupati sumedang tekan bawah kooperatif,hadapi tim eppd jabar bupati sumedang tekan bawahannya kooperatif,2
persikabo taklukkan persebaya surabaya 1-0 gustavo tocantins jadi pahlawan kemenangan,"['persikabo', 'taklukkan', 'persebaya', 'surabaya', '1', '-', '0', 'gustavo', 'tocantins', 'jadi', 'pahlawan', 'kemenangan']","[('persikabo', 'NN'), ('taklukkan', 'VB'), ('persebaya', 'NN'), ('surabaya', 'NN'), ('1', 'CD'), ('-', 'Z'), ('0', 'CD'), ('gustavo', 'NN'), ('tocantins', 'NN'), ('jadi', 'VB'), ('pahlawan', 'NN'), ('kemenangan', 'NN')]",persikabo taklukkan persebaya surabaya 1 - 0 gustavo tocantins  pahlawan kemenangan,persikabo takluk baya surabaya 1 - 0 gustavo tocantins pahlawan menang,persikabo taklukkan persebaya surabaya 1 - 0 gustavo tocantins pahlawan kemenangan,1
benfica vs newcastle united jadwal pertandingan tempat dan prediksi susunan pemain,"['benfica', 'vs', 'newcastle', 'united', 'jadwal', 'pertandingan', 'tempat', 'dan', 'prediksi', 'susunan', 'pemain']","[('benfica', 'NN'), ('vs', 'FW'), ('newcastle', 'FW'), ('united', 'FW'), ('jadwal', 'NN'), ('pertandingan', 'NN'), ('tempat', 'NN'), ('dan', 'CC'), ('prediksi', 'NN'), ('susunan', 'NN'), ('pemain', 'JJ')]",benfica vs newcastle united jadwal pertandingan tempat  prediksi susunan pemain,benfica vs newcastle united jadwal tanding tempat prediksi susun main,benfica v newcastle united jadwal pertandingan tempat prediksi susunan pemain,0
ridwan kamil 'ceramahi' baim wong soal citayam fashion week tidak perlu ikut-ikutan mengatur,"['ridwan', 'kamil', ""'"", 'ceramahi', ""'"", 'baim', 'wong', 'soal', 'citayam', 'fashion', 'week', 'tidak', 'perlu', 'ikut', '-', 'ikutan', 'mengatur']","[('ridwan', 'NN'), ('kamil', 'JJ'), (""'"", 'Z'), ('ceramahi', 'VB'), (""'"", 'Z'), ('baim', 'VB'), ('wong', 'VB'), ('soal', 'NN'), ('citayam', 'NN'), ('fashion', 'NN'), ('week', 'NN'), ('tidak', 'NEG'), ('perlu', 'MD'), ('ikut', 'VB'), ('-', 'Z'), ('ikutan', 'NN'), ('mengatur', 'VB')]",ridwan kamil ' ceramahi ' baim  soal citayam fashion week    - ikutan mengatur,ridwan kamil  ceramah  baim soal citayam fashion week - ikut atur,ridwan kamil ' ceramahi ' baim soal citayam fashion week - ikutan mengatur,1
link live streaming persis solo vs dewa united pertaruhan kualitas 2 mantan pelatih timnas indonesia,"['link', 'live', 'streaming', 'persis', 'solo', 'vs', 'dewa', 'united', 'pertaruhan', 'kualitas', '2', 'mantan', 'pelatih', 'timnas', 'indonesia']","[('link', 'FW'), ('live', 'FW'), ('streaming', 'FW'), ('persis', 'FW'), ('solo', 'FW'), ('vs', 'FW'), ('dewa', 'FW'), ('united', 'FW'), ('pertaruhan', 'NN'), ('kualitas', 'NN'), ('2', 'CD'), ('mantan', 'JJ'), ('pelatih', 'VB'), ('timnas', 'NN'), ('indonesia', 'NNP')]",link live streaming persis solo vs dewa united pertaruhan kualitas 2 mantan pelatih timnas indonesia,link live streaming persis solo vs dewa united taruh kualitas 2 mantan latih timnas indonesia,link live streaming persis solo v dewa united pertaruhan kualitas 2 mantan pelatih timnas indonesia,0
mencekam warga sweeping kendaraan bermotor di yogyakarta plat ad trending topic,"['mencekam', 'warga', 'sweeping', 'kendaraan', 'bermotor', 'di', 'yogyakarta', 'plat', 'ad', 'trending', 'topic']","[('mencekam', 'VB'), ('warga', 'NN'), ('sweeping', 'NN'), ('kendaraan', 'NN'), ('bermotor', 'NN'), ('di', 'IN'), ('yogyakarta', 'NN'), ('plat', 'NN'), ('ad', 'FW'), ('trending', 'FW'), ('topic', 'FW')]",mencekam warga sweeping kendaraan bermotor  yogyakarta plat ad trending topic,cekam warga sweeping kendara motor yogyakarta plat ad trending topic,mencekam warga sweeping kendaraan bermotor yogyakarta plat ad trending topic,2
ini daftar 73 jemaah haji yang meninggal hingga hari ke-53 60% jemaah gelombang pertama pulang ke tanah air,"['ini', 'daftar', '73', 'jemaah', 'haji', 'yang', 'meninggal', 'hingga', 'hari', 'ke', '-', '53', '60', '%', 'jemaah', 'gelombang', 'pertama', 'pulang', 'ke', 'tanah', 'air']","[('ini', 'PR'), ('daftar', 'IN'), ('73', 'CD'), ('jemaah', 'NN'), ('haji', 'NN'), ('yang', 'SC'), ('meninggal', 'VB'), ('hingga', 'IN'), ('hari', 'NN'), ('ke', 'IN'), ('-', 'Z'), ('53', 'CD'), ('60', 'CD'), ('%', 'SYM'), ('jemaah', 'NN'), ('gelombang', 'NN'), ('pertama', 'OD'), ('pulang', 'VB'), ('ke', 'IN'), ('tanah', 'NN'), ('air', 'NN')]", daftar 73 jemaah haji  meninggal  hari  - 53 60 % jemaah gelombang  pulang  tanah air,daftar 73 jemaah haji tinggal hari - 53 60  jemaah gelombang pulang tanah air,daftar 73 jemaah haji meninggal hari - 53 60 % jemaah gelombang pulang tanah air,2
petani masuk kelompok prasejahtera pks minta kader legislatif dan eksekutif ikut berjuang,"['petani', 'masuk', 'kelompok', 'prasejahtera', 'pks', 'minta', 'kader', 'legislatif', 'dan', 'eksekutif', 'ikut', 'berjuang']","[('petani', 'NN'), ('masuk', 'VB'), ('kelompok', 'NN'), ('prasejahtera', 'NN'), ('pks', 'NN'), ('minta', 'VB'), ('kader', 'NN'), ('legislatif', 'JJ'), ('dan', 'CC'), ('eksekutif', 'JJ'), ('ikut', 'VB'), ('berjuang', 'VB')]",petani masuk kelompok prasejahtera pks  kader legislatif  eksekutif  berjuang,tani masuk kelompok prasejahtera pks kader legislatif eksekutif juang,petani masuk kelompok prasejahtera pks kader legislatif eksekutif berjuang,1
green kurban salurkan ke 17782 penerima manfaat,"['green', 'kurban', 'salurkan', 'ke', '17782', 'penerima', 'manfaat']","[('green', 'NN'), ('kurban', 'NN'), ('salurkan', 'VB'), ('ke', 'IN'), ('17782', 'CD'), ('penerima', 'CD'), ('manfaat', 'NN')]",green kurban salurkan  17782 penerima manfaat,green kurban salur 17782 terima manfaat,green kurban salurkan 17782 penerima manfaat,1
bpkad kota cimahi launching aplikasi siaga,"['bpkad', 'kota', 'cimahi', 'launching', 'aplikasi', 'siaga']","[('bpkad', 'VB'), ('kota', 'NN'), ('cimahi', 'VB'), ('launching', 'NN'), ('aplikasi', 'NN'), ('siaga', 'VB')]",bpkad kota cimahi launching aplikasi siaga,bpkad kota cimahi launching aplikasi siaga,bpkad kota cimahi launching aplikasi siaga,1
museum subang masih kurang pengunjung,"['museum', 'subang', 'masih', 'kurang', 'pengunjung']","[('museum', 'NN'), ('subang', 'NN'), ('masih', 'MD'), ('kurang', 'RB'), ('pengunjung', 'VB')]",museum   kurang pengunjung,museum kurang unjung,museum kurang pengunjung,2
link streaming cinta setelah cinta 26 juli 2022 tayang sesaat lagi langsung klik di sini,"['link', 'streaming', 'cinta', 'setelah', 'cinta', '26', 'juli', '2022', 'tayang', 'sesaat', 'lagi', 'langsung', 'klik', 'di', 'sini']","[('link', 'NN'), ('streaming', 'NN'), ('cinta', 'VB'), ('setelah', 'SC'), ('cinta', 'VB'), ('26', 'CD'), ('juli', 'VB'), ('2022', 'CD'), ('tayang', 'NN'), ('sesaat', 'NN'), ('lagi', 'RB'), ('langsung', 'RB'), ('klik', 'VB'), ('di', 'IN'), ('sini', 'PR')]",link streaming cinta  cinta 26 juli 2022 tayang sesaat lagi langsung klik  ,link streaming cinta cinta 26 juli 2022 tayang saat lagi langsung klik,link streaming cinta cinta 26 juli 2022 tayang sesaat lagi langsung klik,0
perkuat persatuan dan kesatuan kodim 0618/bs laksanakan bimkom cegah konflik sosial,"['perkuat', 'persatuan', 'dan', 'kesatuan', 'kodim', '0618', '/', 'bs', 'laksanakan', 'bimkom', 'cegah', 'konflik', 'sosial']","[('perkuat', 'VB'), ('persatuan', 'NN'), ('dan', 'CC'), ('kesatuan', 'NN'), ('kodim', 'NN'), ('0618', 'CD'), ('/', 'Z'), ('bs', 'NN'), ('laksanakan', 'VB'), ('bimkom', 'NN'), ('cegah', 'NN'), ('konflik', 'NN'), ('sosial', 'JJ')]",perkuat persatuan  kesatuan kodim 0618 / bs laksanakan bimkom cegah konflik sosial,kuat satu satu kodim 0618  bs laksana bimkom cegah konflik sosial,perkuat persatuan kesatuan kodim 0618 / b laksanakan bimkom cegah konflik sosial,1
dahana garap rajata penghancur tanpa ketahui musuh,"['dahana', 'garap', 'rajata', 'penghancur', 'tanpa', 'ketahui', 'musuh']","[('dahana', 'SC'), ('garap', 'VB'), ('rajata', 'NN'), ('penghancur', 'NN'), ('tanpa', 'IN'), ('ketahui', 'VB'), ('musuh', 'NN')]",dahana garap rajata penghancur  ketahui musuh,dahana garap rajata hancur tahu musuh,dahana garap rajata penghancur ketahui musuh,0
jelang benfica vs newcastle united the magpies ambisi datangkan timo werner dari chelsea,"['jelang', 'benfica', 'vs', 'newcastle', 'united', 'the', 'magpies', 'ambisi', 'datangkan', 'timo', 'werner', 'dari', 'chelsea']","[('jelang', 'NN'), ('benfica', 'NN'), ('vs', 'FW'), ('newcastle', 'FW'), ('united', 'FW'), ('the', 'FW'), ('magpies', 'FW'), ('ambisi', 'NN'), ('datangkan', 'VB'), ('timo', 'NN'), ('werner', 'NN'), ('dari', 'IN'), ('chelsea', 'NN')]",jelang benfica vs newcastle united the magpies ambisi datangkan timo werner  chelsea,jelang benfica vs newcastle united the magpies ambisi datang timo werner chelsea,jelang benfica v newcastle united the magpie ambisi datangkan timo werner chelsea,0
frets butuan bawa persib unggul sementara di babak kedua link live streaming bisa diakses di sini,"['frets', 'butuan', 'bawa', 'persib', 'unggul', 'sementara', 'di', 'babak', 'kedua', 'link', 'live', 'streaming', 'bisa', 'diakses', 'di', 'sini']","[('frets', 'NN'), ('butuan', 'NN'), ('bawa', 'VB'), ('persib', 'NN'), ('unggul', 'JJ'), ('sementara', 'SC'), ('di', 'IN'), ('babak', 'NN'), ('kedua', 'OD'), ('link', 'FW'), ('live', 'FW'), ('streaming', 'FW'), ('bisa', 'MD'), ('diakses', 'VB'), ('di', 'IN'), ('sini', 'PR')]",frets butuan bawa persib unggul   babak  link live streaming  diakses  ,frets butuan bawa persib unggul babak link live streaming akses,fret butuan bawa persib unggul babak link live streaming diakses,0
wakil ketua dprd kota bandung ade supriadi wafat wali kota berduka,"['wakil', 'ketua', 'dprd', 'kota', 'bandung', 'ade', 'supriadi', 'wafat', 'wali', 'kota', 'berduka']","[('wakil', 'NN'), ('ketua', 'NN'), ('dprd', 'NN'), ('kota', 'NN'), ('bandung', 'VB'), ('ade', 'NN'), ('supriadi', 'VB'), ('wafat', 'NN'), ('wali', 'NN'), ('kota', 'NN'), ('berduka', 'VB')]",wakil ketua dprd kota  ade supriadi wafat wali kota berduka,wakil ketua dprd kota ade supriadi wafat wali kota duka,wakil ketua dprd kota ade supriadi wafat wali kota berduka,0
link live streaming persikabo vs persebaya surabaya langsung klik di sini,"['link', 'live', 'streaming', 'persikabo', 'vs', 'persebaya', 'surabaya', 'langsung', 'klik', 'di', 'sini']","[('link', 'FW'), ('live', 'FW'), ('streaming', 'FW'), ('persikabo', 'FW'), ('vs', 'FW'), ('persebaya', 'NN'), ('surabaya', 'NN'), ('langsung', 'RB'), ('klik', 'VB'), ('di', 'IN'), ('sini', 'PR')]",link live streaming persikabo vs persebaya surabaya langsung klik  ,link live streaming persikabo vs baya surabaya langsung klik,link live streaming persikabo v persebaya surabaya langsung klik,0
persib bandung kebobolan jelang pertandingan kontra bhayangkara fc berakhir wasit jadi sorotan bobotoh,"['persib', 'bandung', 'kebobolan', 'jelang', 'pertandingan', 'kontra', 'bhayangkara', 'fc', 'berakhir', 'wasit', 'jadi', 'sorotan', 'bobotoh']","[('persib', 'NN'), ('bandung', 'VB'), ('kebobolan', 'NN'), ('jelang', 'NN'), ('pertandingan', 'NN'), ('kontra', 'VB'), ('bhayangkara', 'NN'), ('fc', 'NN'), ('berakhir', 'VB'), ('wasit', 'NN'), ('jadi', 'VB'), ('sorotan', 'NN'), ('bobotoh', 'NN')]",persib  kebobolan jelang pertandingan kontra bhayangkara fc  wasit  sorotan bobotoh,persib bobol jelang tanding kontra bhayangkara fc wasit sorot bobotoh,persib kebobolan jelang pertandingan kontra bhayangkara fc wasit sorotan bobotoh,0
pelatihan guru utama revitalisasi bahasa daerah menjaga kepunahan bahasa daerah dengan menulis,"['pelatihan', 'guru', 'utama', 'revitalisasi', 'bahasa', 'daerah', 'menjaga', 'kepunahan', 'bahasa', 'daerah', 'dengan', 'menulis']","[('pelatihan', 'NN'), ('guru', 'NN'), ('utama', 'JJ'), ('revitalisasi', 'NN'), ('bahasa', 'NN'), ('daerah', 'NN'), ('menjaga', 'VB'), ('kepunahan', 'NN'), ('bahasa', 'NN'), ('daerah', 'NN'), ('dengan', 'SC'), ('menulis', 'VB')]",pelatihan guru utama revitalisasi bahasa daerah menjaga kepunahan bahasa daerah  menulis,latih guru utama revitalisasi bahasa daerah jaga punah bahasa daerah tulis,pelatihan guru utama revitalisasi bahasa daerah menjaga kepunahan bahasa daerah menulis,1
nonton persikabo vs persebaya surabaya langsung klik link live streaming hanya di sini,"['nonton', 'persikabo', 'vs', 'persebaya', 'surabaya', 'langsung', 'klik', 'link', 'live', 'streaming', 'hanya', 'di', 'sini']","[('nonton', 'NN'), ('persikabo', 'NN'), ('vs', 'NN'), ('persebaya', 'NN'), ('surabaya', 'NN'), ('langsung', 'RB'), ('klik', 'VB'), ('link', 'FW'), ('live', 'FW'), ('streaming', 'FW'), ('hanya', 'RB'), ('di', 'IN'), ('sini', 'PR')]",nonton persikabo vs persebaya surabaya langsung klik link live streaming hanya  ,nonton persikabo vs baya surabaya langsung klik link live streaming hanya,nonton persikabo v persebaya surabaya langsung klik link live streaming hanya,0
ridwan kamil dinobatkan sebagai ayah inspiratif,"['ridwan', 'kamil', 'dinobatkan', 'sebagai', 'ayah', 'inspiratif']","[('ridwan', 'NN'), ('kamil', 'JJ'), ('dinobatkan', 'VB'), ('sebagai', 'IN'), ('ayah', 'NN'), ('inspiratif', 'JJ')]",ridwan kamil dinobatkan  ayah inspiratif,ridwan kamil nobat ayah inspiratif,ridwan kamil dinobatkan ayah inspiratif,1
presiden jokowi tiba di china besok sore temui xi jinping secara tertutup,"['presiden', 'jokowi', 'tiba', 'di', 'china', 'besok', 'sore', 'temui', 'xi', 'jinping', 'secara', 'tertutup']","[('presiden', 'NN'), ('jokowi', 'NN'), ('tiba', 'VB'), ('di', 'IN'), ('china', 'NN'), ('besok', 'NN'), ('sore', 'NN'), ('temui', 'VB'), ('xi', 'NN'), ('jinping', 'NN'), ('secara', 'IN'), ('tertutup', 'VB')]",presiden jokowi   china besok sore temui xi jinping  tertutup,presiden jokowi china besok sore temu xi jinping tutup,presiden jokowi china besok sore temui xi jinping tertutup,0
kpas-plaastro gelar pameran tunggal 'the silence of khotbah',"['kpas', '-', 'plaastro', 'gelar', 'pameran', 'tunggal', ""'"", 'the', 'silence', 'of', 'khotbah', ""'""]","[('kpas', 'VB'), ('-', 'Z'), ('plaastro', 'NN'), ('gelar', 'NN'), ('pameran', 'NN'), ('tunggal', 'JJ'), (""'"", 'Z'), ('the', 'FW'), ('silence', 'FW'), ('of', 'FW'), ('khotbah', 'VB'), (""'"", 'Z')]",kpas - plaastro gelar pameran tunggal ' the silence of khotbah ',kpas - plaastro gelar pamer tunggal  the silence of khotbah ,kpas - plaastro gelar pameran tunggal ' the silence of khotbah ',0
langsung jatuh cinta pada kosumon moeldoko saya jagonya ngopi ini very special,"['langsung', 'jatuh', 'cinta', 'pada', 'kosumon', 'moeldoko', 'saya', 'jagonya', 'ngopi', 'ini', 'very', 'special']","[('langsung', 'RB'), ('jatuh', 'VB'), ('cinta', 'VB'), ('pada', 'IN'), ('kosumon', 'NN'), ('moeldoko', 'NN'), ('saya', 'PRP'), ('jagonya', 'RB'), ('ngopi', 'NN'), ('ini', 'PR'), ('very', 'FW'), ('special', 'FW')]",langsung jatuh cinta  kosumon moeldoko  jagonya ngopi  very special,langsung jatuh cinta kosumon moeldoko jago ngopi very special,langsung jatuh cinta kosumon moeldoko jagonya ngopi very special,1
gandeng pemerintah daerah tokopedia dorong implementasi digitalisasi pasar rakyat,"['gandeng', 'pemerintah', 'daerah', 'tokopedia', 'dorong', 'implementasi', 'digitalisasi', 'pasar', 'rakyat']","[('gandeng', 'NN'), ('pemerintah', 'NN'), ('daerah', 'NN'), ('tokopedia', 'NN'), ('dorong', 'VB'), ('implementasi', 'NN'), ('digitalisasi', 'NN'), ('pasar', 'NN'), ('rakyat', 'NN')]",gandeng pemerintah daerah tokopedia dorong implementasi digitalisasi pasar rakyat,gandeng perintah daerah tokopedia dorong implementasi digitalisasi pasar rakyat,gandeng pemerintah daerah tokopedia dorong implementasi digitalisasi pasar rakyat,1
viral petarung ufc sampaikan hal menyedihkan usai menang tarung temannya bunuh diri jelang tanding,"['viral', 'petarung', 'ufc', 'sampaikan', 'hal', 'menyedihkan', 'usai', 'menang', 'tarung', 'temannya', 'bunuh', 'diri', 'jelang', 'tanding']","[('viral', 'JJ'), ('petarung', 'VB'), ('ufc', 'NN'), ('sampaikan', 'VB'), ('hal', 'NN'), ('menyedihkan', 'VB'), ('usai', 'SC'), ('menang', 'VB'), ('tarung', 'NN'), ('temannya', 'RB'), ('bunuh', 'VB'), ('diri', 'NN'), ('jelang', 'NN'), ('tanding', 'FW')]",viral petarung ufc  hal menyedihkan  menang tarung temannya bunuh diri jelang tanding,viral tarung ufc hal sedih menang tarung teman bunuh diri jelang tanding,viral petarung ufc hal menyedihkan menang tarung temannya bunuh diri jelang tanding,2
