title,Token,stopword,stemmed,label
waspada siang dan malam hari jabar diguyur hujan prakiraan cuaca wilayah jawa barat senin 25 juli 2022,"['waspada', 'siang', 'dan', 'malam', 'hari', 'jabar', 'diguyur', 'hujan', 'prakiraan', 'cuaca', 'wilayah', 'jawa', 'barat', 'senin', '25', 'juli', '2022']","['waspada', 'siang', 'malam', 'jabar', 'diguyur', 'hujan', 'prakiraan', 'cuaca', 'wilayah', 'jawa', 'barat', 'senin', '25', 'juli', '2022']",waspada siang malam jabar guyur hujan prakira cuaca wilayah jawa barat senin 25 juli 2022,2
buka latsar cpns sekda jabar tekankan integritas,"['buka', 'latsar', 'cpns', 'sekda', 'jabar', 'tekankan', 'integritas']","['buka', 'latsar', 'cpns', 'sekda', 'jabar', 'tekankan', 'integritas']",buka latsar cpns sekda jabar tekan integritas,0
panglima tni utus dokter forensik tni lakukan autopsi brigadir j kalau mau tambah juga boleh,"['panglima', 'tni', 'utus', 'dokter', 'forensik', 'tni', 'lakukan', 'autopsi', 'brigadir', 'j', 'kalau', 'mau', 'tambah', 'juga', 'boleh']","['panglima', 'tni', 'utus', 'dokter', 'forensik', 'tni', 'lakukan', 'autopsi', 'brigadir', 'j']",panglima tni utus dokter forensik tni laku autopsi brigadir j,0
pad retribusi parkir minim ini yang akan dilakukan bapenda kbb,"['pad', 'retribusi', 'parkir', 'minim', 'ini', 'yang', 'akan', 'dilakukan', 'bapenda', 'kbb']","['pad', 'retribusi', 'parkir', 'minim', 'bapenda', 'kbb']",pad retribusi parkir minim bapenda kbb,0
pesan menohok ridwan kamil ke baim wong soal citayam fashion week anda dan istri sudah hebat tapi,"['pesan', 'menohok', 'ridwan', 'kamil', 'ke', 'baim', 'wong', 'soal', 'citayam', 'fashion', 'week', 'anda', 'dan', 'istri', 'sudah', 'hebat', 'tapi']","['pesan', 'menohok', 'ridwan', 'kamil', 'baim', 'citayam', 'fashion', 'week', 'istri', 'hebat']",pesan tohok ridwan kamil baim citayam fashion week istri hebat,2
berusaha pulihkan cedera febri hariyadi disemangati mario jardel semangat bang bow,"['berusaha', 'pulihkan', 'cedera', 'febri', 'hariyadi', 'disemangati', 'mario', 'jardel', 'semangat', 'bang', 'bow']","['berusaha', 'pulihkan', 'cedera', 'febri', 'hariyadi', 'disemangati', 'mario', 'jardel', 'semangat', 'bang', 'bow']",usaha pulih cedera febri hariyadi semangat mario jardel semangat bang bow,1
pemilik tim football menangkan lelang sabuk juara tinju muhammad ali ini harganya,"['pemilik', 'tim', 'football', 'menangkan', 'lelang', 'sabuk', 'juara', 'tinju', 'muhammad', 'ali', 'ini', 'harganya']","['pemilik', 'tim', 'football', 'menangkan', 'lelang', 'sabuk', 'juara', 'tinju', 'muhammad', 'ali', 'harganya']",milik tim football menang lelang sabuk juara tinju muhammad ali harga,1
tersangka kasus subang bertambah jadi 11 orang perannya diungkap polda jabar,"['tersangka', 'kasus', 'subang', 'bertambah', 'jadi', '11', 'orang', 'perannya', 'diungkap', 'polda', 'jabar']","['tersangka', 'bertambah', '11', 'orang', 'perannya', 'diungkap', 'polda', 'jabar']",sangka tambah 11 orang peran ungkap polda jabar,2
kasus anak tewas akibat perundungan di tasikmalaya 3 orang jadi tersangka,"['kasus', 'anak', 'tewas', 'akibat', 'perundungan', 'di', 'tasikmalaya', '3', 'orang', 'jadi', 'tersangka']","['anak', 'tewas', 'akibat', 'perundungan', 'tasikmalaya', '3', 'orang', 'tersangka']",anak tewas akibat rundung tasikmalaya 3 orang sangka,2
cinta setelah cinta 25 juli 2022 tayang di sctv pukul 1930 simak sinopsis berikut link streaming,"['cinta', 'setelah', 'cinta', '25', 'juli', '2022', 'tayang', 'di', 'sctv', 'pukul', '1930', 'simak', 'sinopsis', 'berikut', 'link', 'streaming']","['cinta', 'cinta', '25', 'juli', '2022', 'tayang', 'sctv', '1930', 'simak', 'sinopsis', 'link', 'streaming']",cinta cinta 25 juli 2022 tayang sctv 1930 simak sinopsis link streaming,0
ada 16000 kasus cacar monyet di 75 negara who minta kawasan asia tenggara perkuat pengawasan,"['ada', '16000', 'kasus', 'cacar', 'monyet', 'di', '75', 'negara', 'who', 'minta', 'kawasan', 'asia', 'tenggara', 'perkuat', 'pengawasan']","['16000', 'cacar', 'monyet', '75', 'negara', 'who', 'kawasan', 'asia', 'tenggara', 'perkuat', 'pengawasan']",16000 cacar monyet 75 negara who kawasan asia tenggara kuat awas,2
inilah yang harus hindari warga binaan lapas sumedang,"['inilah', 'yang', 'harus', 'hindari', 'warga', 'binaan', 'lapas', 'sumedang']","['hindari', 'warga', 'binaan', 'lapas', 'sumedang']",hindar warga bina lapas sumedang,2
cfw didaftarkan paten ini komentar sandiaga uno anak-anak scbd jangan ada yang terzalimi harus transparan,"['cfw', 'didaftarkan', 'paten', 'ini', 'komentar', 'sandiaga', 'uno', 'anak', '-', 'anak', 'scbd', 'jangan', 'ada', 'yang', 'terzalimi', 'harus', 'transparan']","['cfw', 'didaftarkan', 'paten', 'komentar', 'sandiaga', 'uno', 'anak', '-', 'anak', 'scbd', 'terzalimi', 'transparan']",cfw daftar paten komentar sandiaga uno anak - anak scbd zalim transparan,1
ceu popong dan salim segaf dorong kolaborasi untuk selesaikan masalah kebangsaan,"['ceu', 'popong', 'dan', 'salim', 'segaf', 'dorong', 'kolaborasi', 'untuk', 'selesaikan', 'masalah', 'kebangsaan']","['ceu', 'popong', 'salim', 'segaf', 'dorong', 'kolaborasi', 'selesaikan', 'kebangsaan']",ceu popong salim segaf dorong kolaborasi selesai bangsa,1
link streaming cinta setelah cinta 25 juli 2022 starla pergoki niko dan ayu rencana ben bakal lancar,"['link', 'streaming', 'cinta', 'setelah', 'cinta', '25', 'juli', '2022', 'starla', 'pergoki', 'niko', 'dan', 'ayu', 'rencana', 'ben', 'bakal', 'lancar']","['link', 'streaming', 'cinta', 'cinta', '25', 'juli', '2022', 'starla', 'pergoki', 'niko', 'ayu', 'rencana', 'ben', 'lancar']",link streaming cinta cinta 25 juli 2022 starla pergok niko ayu rencana ben lancar,0
waspada sejumlah kota besar diguyur hujan prakirakan cuaca hari ini selasa 26 juli 2022,"['waspada', 'sejumlah', 'kota', 'besar', 'diguyur', 'hujan', 'prakirakan', 'cuaca', 'hari', 'ini', 'selasa', '26', 'juli', '2022']","['waspada', 'kota', 'diguyur', 'hujan', 'prakirakan', 'cuaca', 'selasa', '26', 'juli', '2022']",waspada kota guyur hujan prakira cuaca selasa 26 juli 2022,0
populasi 'yaki' di sulteng turun drastis tinggal menyisakan 1000 ekor,"['populasi', ""'"", 'yaki', ""'"", 'di', 'sulteng', 'turun', 'drastis', 'tinggal', 'menyisakan', '1000', 'ekor']","['populasi', ""'"", 'yaki', ""'"", 'sulteng', 'turun', 'drastis', 'tinggal', 'menyisakan', '1000', 'ekor']",populasi  yaki  sulteng turun drastis tinggal sisa 1000 ekor,2
psis semarang rekrut pelatih kiper asal inggris rory grand,"['psis', 'semarang', 'rekrut', 'pelatih', 'kiper', 'asal', 'inggris', 'rory', 'grand']","['psis', 'semarang', 'rekrut', 'pelatih', 'kiper', 'inggris', 'rory', 'grand']",psis semarang rekrut latih kiper inggris rory grand,1
covid-19 di kbb sempat menembus 101 kasus warga mulai bergairah vaksin booster,"['covid', '-', '19', 'di', 'kbb', 'sempat', 'menembus', '101', 'kasus', 'warga', 'mulai', 'bergairah', 'vaksin', 'booster']","['covid', '-', '19', 'kbb', 'menembus', '101', 'warga', 'bergairah', 'vaksin', 'booster']",covid - 19 kbb tembus 101 warga gairah vaksin booster,0
bareskrim polri tetapkan 4 tersangka kasus act,"['bareskrim', 'polri', 'tetapkan', '4', 'tersangka', 'kasus', 'act']","['bareskrim', 'polri', 'tetapkan', '4', 'tersangka', 'act']",bareskrim polri tetap 4 sangka act,2
cinta setelah cinta 26 juli 2022 niko ngamuk kepada ayu arya dan ben berebut perhatian starla,"['cinta', 'setelah', 'cinta', '26', 'juli', '2022', 'niko', 'ngamuk', 'kepada', 'ayu', 'arya', 'dan', 'ben', 'berebut', 'perhatian', 'starla']","['cinta', 'cinta', '26', 'juli', '2022', 'niko', 'ngamuk', 'ayu', 'arya', 'ben', 'berebut', 'perhatian', 'starla']",cinta cinta 26 juli 2022 niko ngamuk ayu arya ben rebut perhati starla,0
prakiraan cuaca di kota-kota besar di indonesia bandung hujan ringan,"['prakiraan', 'cuaca', 'di', 'kota', '-', 'kota', 'besar', 'di', 'indonesia', 'bandung', 'hujan', 'ringan']","['prakiraan', 'cuaca', 'kota', '-', 'kota', 'indonesia', 'hujan', 'ringan']",prakira cuaca kota - kota indonesia hujan ringan,0
persis solo menyerah 2-3 dari dewa united di liga 1,"['persis', 'solo', 'menyerah', '2', '-', '3', 'dari', 'dewa', 'united', 'di', 'liga', '1']","['persis', 'solo', 'menyerah', '2', '-', '3', 'dewa', 'united', 'liga', '1']",persis solo serah 2 - 3 dewa united liga 1,2
ucapkan good bye pada pertalite dan solar bagi pemilik mobil dengan kapasitas 2000 cc ke atas,"['ucapkan', 'good', 'bye', 'pada', 'pertalite', 'dan', 'solar', 'bagi', 'pemilik', 'mobil', 'dengan', 'kapasitas', '2000', 'cc', 'ke', 'atas']","['ucapkan', 'good', 'bye', 'pertalite', 'solar', 'pemilik', 'mobil', 'kapasitas', '2000', 'cc']",ucap good bye pertalite solar milik mobil kapasitas 2000 cc,2
bantu renovasi rumah warga yang hampir roboh ridwan kamil tugas pemimpin memudahkan urusan rakyat,"['bantu', 'renovasi', 'rumah', 'warga', 'yang', 'hampir', 'roboh', 'ridwan', 'kamil', 'tugas', 'pemimpin', 'memudahkan', 'urusan', 'rakyat']","['bantu', 'renovasi', 'rumah', 'warga', 'roboh', 'ridwan', 'kamil', 'tugas', 'pemimpin', 'memudahkan', 'urusan', 'rakyat']",bantu renovasi rumah warga roboh ridwan kamil tugas pimpin mudah urus rakyat,1
persita siap ladeni persik kediri vera butuh start yang bagus,"['persita', 'siap', 'ladeni', 'persik', 'kediri', 'vera', 'butuh', 'start', 'yang', 'bagus']","['persita', 'ladeni', 'persik', 'kediri', 'vera', 'butuh', 'start', 'bagus']",sita laden persik diri vera butuh start bagus,1
identitas 11 tersangka kasus subang diungkap polisi ada yang berperan sebagai pemodal,"['identitas', '11', 'tersangka', 'kasus', 'subang', 'diungkap', 'polisi', 'ada', 'yang', 'berperan', 'sebagai', 'pemodal']","['identitas', '11', 'tersangka', 'diungkap', 'polisi', 'berperan', 'pemodal']",identitas 11 sangka ungkap polisi peran modal,2
kita punya seribu alasan untuk bahagia dengan melepas beban emosi,"['kita', 'punya', 'seribu', 'alasan', 'untuk', 'bahagia', 'dengan', 'melepas', 'beban', 'emosi']","['seribu', 'alasan', 'bahagia', 'melepas', 'beban', 'emosi']",ribu alas bahagia lepas beban emosi,1
